,information
0,['해태제과 홈런볼 초코']
1,['설명없음']
2,"코로나로 인해 연세가 많으신 어머니가
복지관을 못가시고 집에 계신지 8개월은
되는것 같네요ㅠ 아침에 보행기 끌고 산
책 잠깐 가는것 빼고는 종일 집에서 tv만
보시니 안사본 간식없이 이것 저것 사봤
는데 부분틀니를 평상시에는 불편하시다
고 빼고 계시니 몇개 안남은 치아로 간식
을 드시다 보니....

홈런볼을 그중에 제일 좋아하시네요.
그래서 2~3번째 주문하는것 같습니다.




배송은 쿠팡종이박스에 4팩이 비닐에 한번
더 포장되어 잘 왔습니다.






맛
포장지에 보니 1981년부터 나오기 시작한
과자니 40년은 된 과자네요.....익숙한 맛인
부드럽고 고소하며 달콤한 초코릿의 맛이 중
독성 강합니다.

가격과 편리성
4팩에 3580원에 구입했으니 대형마트에서
세일할때도 4000원 초중반대로 기억나니
저렴하게 구입했습니다. 1팩 마다 흰색 플라
스틱통이 담아저 있어서 먹기 편리합니다만
다 먹어버리는 아픔이 있습니다.^^

열량과 유통기한
1팩 46g에 270kcal로 표시 되어있으니
보통 컵라면이 250kcal. 봉지라면이 500
kcal언저리이니 2팩..2봉지 먹으면 봉지
라면 1개 먹는거와 같습니다.

유통기한은 2020년 9월 15일부터 2021
년 9월 14일까지라고 봉지 옆면에 있어 넉
넉합니다. 4봉지 2~3일이면 다 먹습니다.

성분
당연히 외국산인 호주산. 말레이지아산. 네덜
란드산등이고 유일하게 전란액만 국산입니다.
전란액은 계란 껍데기를 제외한 나머지부분을
말하는데 흔히 계란말이 할때 계란 깨서 풀어
서 저은 그 액체입니다.

전란액이 들어가서 홈런볼 과자부분이 헛과
자같은데도 고소하고 맛이 있나봅니다..










대형마트에서는 간혹 안보일때가 많고 쿠
팡에서도 품절이 뜨는 경우가 있던데.......
늦은 오전에 주문했더니 저녁 10시에 와버
리네요...당일배송에 가까운...
어머니가 좋아하시는 과지이긴한데 중독성
이 심해서 지금 이후기 쓰면서 1봉지를 다
먹었네요ㅠ

먹기좋고 맛있어서 어린아이부터 어르신까
지도 먹을수 있고 맥주안주나 우유와도 잘어
울리는 과자입니다."
3,"요근래 과자를 많이 시키게 되네요
집에 있는 시간이 많아저서 일겁니다.
이과자도 2번째 시키는것 같은데 대형
마트에서도 사다 먹었던거 같구요.



종이박스에 4봉 묶음 자체 비닐봉지에
싸여있고 1봉마다 플라스틱곽이 있어서
흡집이나 깨짐없이 잘 왔습니다.







맛
어릴때 많이 먹고 나이 들어선 편의점앞
에서 캔맥주와도 먹던맛이라 익숙한 헛과
자의 고소함과 깨물면 나오는 촉촉한 초코
릿의 맛이 좋습니다. 우유3분의 2컵에 대
여섯개 띄워서 먹으니 아주 맛납니다^^

편리성
잘 뜯어지고 봉지마다 플라스틱통이 있어
서 따로 담을 필요없고 단.....뜯으면 한 봉
지 다먹어야지요^^

열량
1봉지당 270kcal라고 되어있는데 흔한
아이스바 한개가 100kcal언저리이고 컵
라면 250kcal정도이니 열량이 작은편은
아닙니다.

성분
호주산과 말레이산이 많은데 전란액만 국
산이네요. 과자에 많이 들어가는 전란액은
계란껍질을 제외한 계란노른자와 흰자 전
체를 말합니다. 그래서 헛과자같은 겉부분
이 고소한맛을 내는것 같습니다.

유통기한
2020년 6월부터 2021년 6월까지니 1년
가까이되니 여유가 있는편입니다.

가격
대형마트에서 세일할때 똑 같이 4봉 묶어
서 4000원 초중반대로 샀던게 기억나니..
3510원이면 싼겁니다. 와우배송이기도
하기요. 자주 품절이 되는게 단점이긴 합
니다만~











치아가 안좋은 어르신이 먹기에 편한 간
식이고 어린아이부터 성인까지 간편하게
먹을 좋은 간식입니다.

많이 먹으면 목마른게 흠이긴 한데 과자
류가 왠만하면 다 그러니..그리고 생각보
자 칼로리가 높아서 하루에 한 봉이상은
먹지 말아야겠습니다."
4,"해태제과 홈런볼 초코 후기

로켓배송 제품으로 다음 날 바로 배송받았습니다!
배송 포장은 박스에 담겨져서 왔어요ㅎㅎ

✔️가격은 3580원 주고 구매했습니다!
4개 묶어서 왔으니까 한 통에 약 900원이네요~

제가 홈런볼을 좋아하는데요 갑자기 먹고 싶어서
바로 주문했습니다~
이게 몇 번째 구매인지 모르겠네요ㅠㅠㅠ

우선 맛은 다들 아시는 맛이에요!! 진짜 너무 맛있음ㅠㅠ
먹는 순간 구냥 달달하니 천국이 따로 없어요ㅋㅋㅋㅋ
너무 부드럽구,, 그냥 존맛탱ㅜㅜㅜ

사실 홈런볼은 그냥 먹어두 맛있지만 얼려먹으면
더 맛있어져요!! 시원해지구 그냥 먹는 것 보다 바삭해요ㅎ
안에 초코도 은근 많이 들어있어요~
하나씩 집어먹다보면 어느새 빈통입니다. 진짜루,,,

그리구 어린이나 어른 할 거 없이 모두가 잘 먹을 맛입니다ㅠ
간단한 간식으로도 너무너무너무 좋아요!!
우유랑 먹으면 더 맛있어요ㅎㅎㅎ~

홈런볼도 여러가지 맛이 있고 취향 차이가 있겠지만
저는 초코가 제일 맛있는 것 같아요ㅋㅋㅋㅋ!!

유통기한은 2021년 9월 14일까지 였어요!!!
엄청나게 깁니다.. 참고하셔요~~~

저는 완전완전 만족했어요 말이 필요없습니다...
진짜 맛있구 아주 그냥 계속 손이 가여ㅠㅠ
강추하겠습니당 초코 좋아하시는 분들이라면 꼭 주문하세요!
후회 없습니다~ 저는 또 주문할 거예요 크크"
5,맛 만족도 예상보다 맛있어요
6,"해태제과 홈런볼 초코, 46g, 4개
*솔직후기입니다*

배송일 2020.09.21
홈런볼은 앉은자리에서 2개은 먹어야 먹는것 같은 느낌이죠.
입안에 넣으면 살살 녹고 부담스럽지 않아서 영화나 tV를 보면서도 먹게되는 과자에요.
어릴때부터 먹어온 과자라서 그런지 더 맛있는것 같아요.

사실 먹을떄 소리가 안나다 보니 학교다닐떄 선생님 몰래 한개씩 먹기도 했던 추억의 과자랍니다.
(이런 경험 한번씩 있으시죠?)
알고보니 1981년도부터 출시가된 과자라고 해요.
저보다 나이도 많은 과자였네요ㅋㅋ


홈런볼을 찾아보니 맛이 여러개있더라고요.
무지방, 티라미수, 초코
근데 전 이 중에서 오리지널인 초코맛이 제일 맛있는것 같아요.
그리고 가장 좋아하기도 하고요!

09월 21일 배송을 받았는데, 유통기한을 보니 2020년7월14일부터 2021년 7월13일까지라고 되어있더라고요.
생각보다 신선한 제품이였어요.

중량은 46g이라고 되어있어 집에 저울이 있어 0점에 맞추고 무게를 재봤어요.

근데 46g이더라고요.
약간 오차를 생각하면 큰 차이는 나지 않았어요.

근데 정말 금방먹을 양 ㅠㅠ
(중량좀 늘려주세요!!)

그래도 너무나 맛있어서 매일 주문하네요~"
7,"■제품명:해태제과 홈런볼 초코 46g, 4개입
■구입가:₩3,580
■10/5일 18시17분주문~>6일 04시 48분 배송완료.
■로켓와우

■유통기한:21.09.15일까지~

■가격비교:
●집근처 대형마트 홈**스에서 10/5일자 판매가₩3,990에 판매중~
●집근처 대형마트 가락공판장에서 10/5일자 ₩3,980에 판매중 몇달째 일주일에 두번은 구입해 먹고있는중~
아마도 코로나19로 집에있는 시간이 많아서 군것질 거리도
더 필요한듯해요.

애ㆍ어른 모두 좋아하는 입속에 넣으면 사르르녹는 홈런볼입니다!
식후에 아메리카노와 함께 먹으면 궁합이 딱좋은 과자에요~
한번 먹으면 기본 1인 1팩은 먹어줘야한다는ᆢ
단점은, 먹어도 배안부르고 누가먹은지 모르게 금방없어진다는거.

4팩이면 하루 이틀이면 없어지기에 한번에 여러개 구입해도
되지만 너무 먹을까봐 조절해서 구입해야한다는ᆢ

이제 장보러가서 궂이 부피크게 장 안봐도되고 쿠팡서 착한가격ㆍ편하게 주문하려구요~^^"
8,"국민간식이라고 부를만한 홈런볼 4봉지 번들입니다 로켓배송으로 빠르게 받아볼 수있는 편리함과 함께 동네 마트보다 조금 더 저렴해서 좋네요

저는 간식으로 과자를 많이 찾는편은 아니지만 홈런볼만은 예외인데요 제과점의 슈는 아무래도 빵이기때문에 너무 배가 불러서 부담스러운데

홈런볼은 과자치고 독특한 슈타입에 초코크림도 흉내만 낸 싸구려 초코맛이 아니라 나름 깊고 달콤해서 디저트로 너무 훌륭한 것같아요

영양성분표와 함유된 재료들을 보면
오마이갓이 절로 나오는 별로 좋지않은 성분들도 포함돼있지만 원래 과자먹으면서 영양따지고 건강챙기는 분들 많이 없잖아요~

인생 뭐있나요~칼로리좀 높고 당분좀 많더라도 가끔 홈런볼 한봉지로 소확행하면 되는거죠~~

다들 비슷한 방법으로 드시겠지만 슈안의 초코크림은 냉동실에 얼려먹었을때 더 끝내주는 아이스초코의 면모를 뽐냅니다 슈부분은 사르륵 녹으면서 풍미가 더 좋아요

주스나 탄산음료하고는 정말 궁합이 안맞구요 흰우유나 아이스아메리카노와 함께 먹어보세요 정말 최고의 조합입니다~바닐라아이스크림과 함께 먹어도 굿~

부드러운 달콤함으로 제대로 당충전원하시는분이나 질리지않고 집어먹을만한 간식 찾으시는 분들에게 추천합니다~~

주의:4봉지라도 3-4일만에 클리어하기때문에 오래먹는다고 볼 순없어요 1일1홈런볼 다들 아시죠?"
9,"-해태 홈런볼 후기-

로켓배송 상품으로 다음 날 바로 배송 받았어요!
배송포장은 과자 사이즈에 딱 맞는 박스에 담겨 왔습니다.

가격은 3580원 주고 구매했습니다!! 지금은 조금 내렸네요!
9월 1일에 배송 받았고 유통기한은 내년 7월 9일까지에요
엄청나게 넉넉하네요ㅎ 어차피 금방 먹어서 상관은 없지만,,
저는 홈런볼을 자주 주문해서 먹고 있어요!!
네 개에 묶어서 팔아도 가격이 저렴한데 너무 맛있어서
최애 과자예요ㅠㅠㅠ 간식으로 최고ㅠㅠㅠ진짜 존맛탱,,
특히 홈런볼은 그냥 먹어도 너무 맛있지만 얼려 먹는 게
진짜 훅훅 들어가요ㅠㅠ 정신차려보면 빈통,,,ㅋㅋㅋㅋ
그냥 먹는 것 보다는 얼려서 먹는 거 추천할게요!!
그리고 안에 들어있는 초코는 사진에 찍힌 양으로 들어있고 충분히 초콜릿 맛도 느껴지구 맛있어용.. 입에 살살 녹아여ㅠ
홈런볼도 여러가지 맛이 있던데 저는 초코맛이 제일 맛있는
것 같아용 재구매의사 완전 있고 정말 또 사먹을 거예요!!
홈런볼,,, 싫어하는 사람은 없을 것 같아요 추천할게요!!!"
